#Snap,Year,Mass,Log(Lst /,Log((F_5.3GHz at 1000AU),
#shot,(yrs),(Msun),[L_sun]),/ [mJy kpc^2]),Type
#Type 1: Constant Injection,,,,,
9,9000,2,3.119760513,-0.652082864,1
23,23000,4,3.114327366,-0.67112318z,1
42,42000,8,4.096875268,-0.502175024,1
43,43000,8.4,4.176091259,-0.286769103,1
44,44000,8.4,4.176091259,2.221922313,1
56,56000,12,4.646635027,0.030425241,1
70,70000,16,4.815985953,1.331712076,1
94,94000,23.6,4.926650049,1.351001757,1
#Type 2: Burst Injection,,,,,
142,43000,8.4,4.176091259,3.600804696,2
242,44000,8.4,4.176091259,2.188881819,2
#Type 3: Variable Injection,,,,,
80,42380,8,4.096875268,1.025081572,3
81,42390,8,4.096875268,1.054364662,3
82,42400,8,4.096875268,1.016783799,3
83,42410,8,4.096875268,1.088905013,3
84,42420,8,4.096875268,1.016680081,3
87,42450,8,4.096875268,1.082364691,3
92,42500,8,4.096875268,1.021444837,3
97,42550,8,4.096875268,1.075832918,3
107,42650,8,4.096875268,1.053122178,3
117,42750,8,4.096875268,1.066601475,3
127,42850,8,4.096875268,1.047712525,3
137,42950,8,4.096875268,1.003950216,3
142,43000,8.4,4.176091259,1.030122708,3
147,43050,8.4,4.176091259,1.024218195,3
157,43150,8.4,4.176091259,1.019356811,3
