#Snap,Year,Mass,Lst,Log(Lst /,S_5.3GHz (1000 au),Variability 5.3GHz,S_5.3GHz (4000 au),Variability 5.3GHz,S_5.3GHz (25000 au),Variability 5.3GHz
#shot,(yrs),(Msun),(L_sun),[L_sun]),(mJy kpc^2),/ [mJy kpc^2]),(mJy kpc^2),/ [mJy kpc^2]),(mJy kpc^2),/ [mJy kpc^2])
#Type 1: Flux Bug,,,,,,,,,,
4,4000,1.4,896.89,2.95273918181507,-0.487623,0.002617,-0.059192,0.175554,2.977831,0.017422
9,9000,2,1317.53,3.11976051283041,-0.350707,0.003838,-0.350329,0.003843,2.632177,0.034897
21,21000,4,1301.15,3.11976051283041,-0.315566,0.003982,-0.315563,0.003983,1.429564,0.005684
39,39000,8,12499,4.09687526805969,-0.158762,0.003347,-0.150057,0.002201,2.63813,0.033682
54,54000,12,44323.6,4.64663502691533,0.438292,0.011888,0.467127,0.010847,2.101342,0.045565
68,68000,16,65461.5,4.81598595261053,0.286273,0.005913,0.372586,0.004859,1.680338,0.093918
93,93000,24,84459.8,4.92665004868492,1.008598,0.255006,1.54918,0.037858,1.570549,0.042337
#Type 2: Burst Injection,,,,,,,,,,
142,43000,8.4,15000,4.176091259,13.20729,1.120813714,,,,
242,44000,8.4,15000,4.176091259,0.719484,-0.14297886,,,,
#Type 3: Variable Injection,,,,,,,,,,
80,42380,8,12499,4.096875268,,1.025081572,,,,
81,42390,8,12499,4.096875268,,1.054364662,,,,
82,42400,8,12499,4.096875268,,1.016783799,,,,
83,42410,8,12499,4.096875268,,1.088905013,,,,
84,42420,8,12499,4.096875268,,1.016680081,,,,
87,42450,8,12499,4.096875268,,1.082364691,,,,
92,42500,8,12499,4.096875268,,1.021444837,,,,
97,42550,8,12499,4.096875268,,1.075832918,,,,
107,42650,8,12499,4.096875268,,1.053122178,,,,
117,42750,8,12499,4.096875268,,1.066601475,,,,
127,42850,8,12499,4.096875268,,1.047712525,,,,
137,42950,8,12499,4.096875268,,1.003950216,,,,
142,43000,8.4,15000,4.176091259,,1.030122708,,,,
147,43050,8.4,15000,4.176091259,,1.024218195,,,,
157,43150,8.4,15000,4.176091259,,1.019356811,,,,
