# source            comp      RA             dec            Freq           Flux(Jy)       sig_flux       
AFGL_4029           A         03:01:31.28    $+$60:29:12.8  5.300e+00      142.e-06       20.e-06      
AFGL_4029           A         03:01:31.28    $+$60:29:12.8  6.300e+00      161.e-06       29.e-06      
AFGL_4029           A         03:01:31.28    $+$60:29:12.8  4.200e+01      738.e-06       85.e-06      
AFGL_4029           A         03:01:31.28    $+$60:29:12.8  4.600e+01      484.e-06       104.e-06      
AFGL_4029           B         03:01:31.42    $+$60:29:13.1  5.300e+00      2.560e-05      3.584e-06      
AFGL_4029           B         03:01:31.42    $+$60:29:13.1  6.300e+00      2.780e-05      3.892e-06      
AFGL_4029           B         03:01:31.42    $+$60:29:13.1  4.200e+01      2.100e-04      2.940e-05      
AFGL_4029           B         03:01:31.42    $+$60:29:13.1  4.600e+01      2.850e-04      3.990e-05      
#AFGL_437            A         03:07:24.49    $+$58:30:42.8  5.300e+00      178.e-06       7.7e-06      
#AFGL_437            A         03:07:24.49    $+$58:30:42.8  6.300e+00      246.e-06       15.e-06      
AFGL_437            A         03:07:24.49    $+$58:30:42.8  5.300e+00      771.e-06       38.e-06      
AFGL_437            A         03:07:24.49    $+$58:30:42.8  6.300e+00      804.e-06       36.e-06      
AFGL_437            A         03:07:24.49    $+$58:30:42.8  4.200e+01      1.39e-03       0.14e-03      
AFGL_437            A         03:07:24.49    $+$58:30:42.8  4.600e+01      1.57e-03       0.26e-03      
AFGL_437            B         03:07:23.74    $+$58:30:49.8  5.300e+00      4.190e-03      5.866e-04      
AFGL_437            B         03:07:23.74    $+$58:30:49.8  6.300e+00      4.440e-03      6.216e-04      
Cepheus_A           A         22:56:17.98    $+$62:01:49.5  8.328e+00      6.850e-03      9.590e-04      
Cepheus_A           A         22:56:17.98    $+$62:01:49.5  2.306e+01      1.850e-02      2.590e-03      
Cepheus_A           A         22:56:17.98    $+$62:01:49.5  4.283e+01      6.500e-02      9.100e-03      
G35.20-0.74         A         18:58:13.04    $+$01:40:35.9  4.999e+00      737.e-06       93.e-06      
G35.20-0.74         A         18:58:13.04    $+$01:40:35.9  6.999e+00      793.e-06       60.e-06      
G35.20-0.74         A         18:58:13.04    $+$01:40:35.9  2.000e+01      1.82e-03       0.10e-03      
G35.20-0.74         A         18:58:13.04    $+$01:40:35.9  2.400e+01      2.27e-03       0.13e-03      
G35.20-0.74         A         18:58:13.04    $+$01:40:35.9  4.200e+01      2.525e-03      0.055e-03      
G35.20-0.74         A         18:58:13.04    $+$01:40:35.9  4.600e+01      3.081e-03      0.083e-03      
G35.20-0.74         B         18:58:13.04    $+$01:40:35.3  4.999e+00      1.270e-03      1.778e-04      
G35.20-0.74         B         18:58:13.04    $+$01:40:35.3  6.999e+00      9.580e-04      1.341e-04      
G35.20-0.74         B         18:58:13.04    $+$01:40:35.3  2.000e+01      1.810e-03      2.534e-04      
G35.20-0.74         B         18:58:13.04    $+$01:40:35.3  2.400e+01      1.970e-03      2.758e-04      
G35.20-0.74         B         18:58:13.04    $+$01:40:35.3  4.200e+01      1.040e-03      1.456e-04      
G35.20-0.74         B         18:58:13.04    $+$01:40:35.3  4.600e+01      9.790e-04      1.371e-04      
G35.20-0.74         C         18:58:13.02    $+$01:40:34.1  4.999e+00      6.600e-04      9.240e-05      
