# source            Freq      Flux_with_backgJy         Flux_with_out_backgJy
AFGL_4029           5.996e+02      1.155e+00      8.1618952716   
AFGL_4029           8.565e+02      1.017e+01      31.7163052989  
AFGL_4029           1.199e+03      4.059e+01      103.60831778   
AFGL_4029           1.874e+03      1.797e+02      264.269376202  
AFGL_4029           4.283e+03      3.497e+02      394.438468431  
AFGL_4029           8.081e+03      4.046e+02      418.902052442  
AFGL_4029           9.517e+03      1.873e+02      193.829061338  
AFGL_4029           1.522e+04      5.725e+01      59.4301493013  
AFGL_4029           3.747e+04      1.034e+01      11.0775656869  
AFGL_4029           3.893e+04      1.288e+01      12.7200649773  
AFGL_4029           5.169e+04      7.128e+00      7.62585172467  
AFGL_4029           6.662e+04      3.623e+00      3.74582030258  
AFGL_4029           8.328e+04      2.601e+00      2.70507753756  
AFGL_437            8.081e+03      5.380e+01      76.6989702388  
AFGL_437            9.517e+03      4.627e+01      65.1046210948  
AFGL_437            1.522e+04      2.237e+01      27.0886454983  
AFGL_437            3.747e+04      2.771e+00      3.31824882063  
AFGL_437            3.893e+04      3.128e+00      3.8938412446   
AFGL_437            5.169e+04      1.558e+00      1.77497557151  
AFGL_437            6.662e+04      7.125e-01      0.777441318803 
AFGL_437            8.328e+04      3.517e-01      0.403875891436 
Cepheus_A           5.996e+02      3.176e+02      411.221245993  
Cepheus_A           8.565e+02      1.054e+03      1291.90954199  
Cepheus_A           1.874e+03      1.088e+04      12005.5692533  
Cepheus_A           4.283e+03      1.464e+04      15297.9889445  
Cepheus_A           8.081e+03      6.262e+03      6274.90053528  
Cepheus_A           9.517e+03      2.771e+03      2726.47203127  
Cepheus_A           1.522e+04      1.379e+02      131.565606467  
Cepheus_A           3.747e+04      1.380e+01      17.4026110903  
Cepheus_A           3.893e+04      2.125e+01      19.003744742   
Cepheus_A           5.169e+04      2.761e+01      30.1120018842  
Cepheus_A           6.662e+04      2.790e+01      28.6743664506  
Cepheus_A           8.328e+04      1.587e+01      16.5118897851  
G35.20-0.74         5.996e+02      1.274e+02      195.721316521  
G35.20-0.74         8.565e+02      4.286e+02      594.464705165  
G35.20-0.74         1.874e+03      2.386e+03      2807.2527066   
G35.20-0.74         4.283e+03      2.628e+03      2732.70094883  
G35.20-0.74         8.102e+03      1.193e+03      1120.23013029  
G35.20-0.74         9.671e+03      5.528e+02      550.600811639  
G35.20-0.74         1.522e+04      6.818e+01      55.9148404744  
G35.20-0.74         1.638e+04      6.303e+01      63.0280896542  
G35.20-0.74         2.562e+04      3.818e+00      3.81771416525  
G35.20-0.74         3.747e+04      3.221e+00      4.90216373042  
